run,data_stream,timestamp,version,check,raw:count,raw:total_size_gb,raw:size_per_file_gb,trigprim:count,trigprim:total_size_gb,trigprim:size_per_file_gb,full-reconstructed:count,full-reconstructed:total_size_gb,full-reconstructed:size_per_file_gb,full-reconstructed:check,root-tuple-virtual:count,root-tuple-virtual:total_size_gb,root-tuple-virtual:size_per_file_gb,root-tuple-virtual:check
28005,physics,20240712T182648Z,v09_91_02d01,,64,257.747,4.027296,,,,64,43.077,0.673078,0,64,1.704,0.026625,0
28006,physics,20240712T184649Z,v09_91_02d01,,4748,20058.358,4.22459,,,,4749,3314.817,0.698003,1,4749,139.43,0.029359000000000003,1
28007,physics,20240713T104223Z,v09_91_02d01,,5272,22270.448,4.224288,,,,5264,3655.191,0.694375,-8,5264,152.974,0.02906,-8
28008,cosmics,20240713T132913Z,unknown,,,,,1448,6135.312,4.237093,,,,,,,,
28009,cosmics,20240714T014432Z,v09_91_02d01,,488,2055.021,4.211108,80,330.94,4.13675,488,330.842,0.677954,0,488,14.071,0.028834,0
28010,physics,20240714T021537Z,v09_91_02d01,,10824,45728.692,4.224749,,,,10822,7522.489,0.69511,-2,10822,317.925,0.029377,-2
28011,cosmics,20240714T232853Z,v09_91_02d01,,552,2327.13,4.215814999999999,90,374.184,4.1576,552,374.34,0.6781520000000001,0,552,16.372,0.029658999999999998,0
28012,physics,20240715T011425Z,v09_91_02d01,,5352,22632.696,4.228828999999999,,,,7491,3893.549,0.5197630000000001,2139,7491,156.731,0.020922,2139
28014,cosmics,20240715T085559Z,v09_91_02d01,,96,375.032,3.906583,14,58.267,4.161928,192,62.491,0.325473,96,192,2.728,0.014208,96
28015,cosmics,20240715T091005Z,unknown,,,,,307,1292.704,4.210762,,,,,,,,
28016,cosmics,20240715T125805Z,v09_91_02d01,,7032,29690.143,4.222147,873,3655.737,4.187556,11720,4885.979,0.416892,4688,11720,213.496,0.018216,4688
28017,physics,20240715T231708Z,v09_91_02d01,,5609,23568.043,4.201826,,,,5590,2397.9,0.428962,-19,5595,205.792,0.036781,-14
28018,cosmics,20240716T073633Z,v09_91_02d01,,2,7.508,3.754,,,,2,3.565,1.7825,0,2,0.0,0.0,0
28019,cosmics,20240716T081357Z,v09_91_02d01,,1,2.889,2.889,,,,1,1.371,1.371,0,1,0.0,0.0,0
28020,cosmics,20240716T083113Z,unknown,,,,,528,2239.264,4.241029999999999,,,,,,,,
28021,cosmics,20240716T130039Z,unknown,,,,,256,1083.554,4.232632,,,,,,,,
28023,physics,20240716T154225Z,v09_91_02d01,,9200,39335.268,4.275572,,,,9184,5987.142,0.65191,-16,9184,282.678,0.030779,-16
28024,cosmics,20240717T063824Z,v09_91_02d01,,1505,6395.524,4.249517,224,947.605,4.230379,1498,947.082,0.6322300000000001,-7,1498,46.225,0.030857,-7
28025,cosmics,20240717T080034Z,v09_91_02d01,,640,2713.851,4.240392,74,310.307,4.1933370000000005,639,401.825,0.6288339999999999,-1,639,19.366,0.030306,-1
28026,cosmics,20240717T082942Z,unknown,,,,,6,22.158,3.693,,,,,,,,
28027,cosmics,20240717T083546Z,v09_91_02d01,,136,572.972,4.213029000000001,15,60.211,4.014066,136,58.428,0.429617,0,136,5.807,0.042698,0
28028,cosmics,20240717T085120Z,v09_91_02d01,,336,1398.345,4.161741,69,290.326,4.207623,336,143.931,0.42836599999999997,0,336,13.408,0.039904,0
28029,cosmics,20240717T091744Z,v09_91_02d01,,88,346.284,3.935045,21,83.494,3.975904,88,35.36,0.401818,0,88,3.228,0.036681,0
28030,cosmics,20240717T092946Z,unknown,,,,,5,19.466,3.8931999999999998,,,,,,,,
