run,data_stream,timestamp,version,check,raw:count,raw:total_size_gb,raw:size_per_file_gb,trigprim:count,trigprim:total_size_gb,trigprim:size_per_file_gb,full-reconstructed:count,full-reconstructed:total_size_gb,full-reconstructed:size_per_file_gb,full-reconstructed:check,root-tuple-virtual:count,root-tuple-virtual:total_size_gb,root-tuple-virtual:size_per_file_gb,root-tuple-virtual:check
28005,physics,20240712T182648Z,,,64,257.747,4.027296,,,,,,,,,,,
28006,physics,20240712T184649Z,,,4748,20058.358,4.22459,,,,,,,,,,,
28007,physics,20240713T104223Z,,,5272,22270.448,4.224288,,,,,,,,,,,
28008,cosmics,20240713T132913Z,,,,,,1448,6135.312,4.237093,,,,,,,,
28009,cosmics,20240714T014432Z,,,488,2055.021,4.211108,80,330.94,4.13675,,,,,,,,
28010,physics,20240714T021537Z,,,10824,45728.692,4.224749,,,,,,,,,,,
28011,cosmics,20240714T232853Z,,,552,2327.13,4.215814999999999,90,374.184,4.1576,,,,,,,,
28012,physics,20240715T011425Z,v09_91_02d01,,5352,22632.696,4.228828999999999,,,,2139,49.717,0.023243,-3213,2139,2.182,0.00102,-3213
28014,cosmics,20240715T085559Z,v09_91_02d01,,96,375.032,3.906583,14,58.267,4.161928,96,2.081,0.021677,0,96,0.086,0.0008950000000000001,0
28015,cosmics,20240715T091005Z,,,,,,307,1292.704,4.210762,,,,,,,,
28016,cosmics,20240715T125805Z,v09_91_02d01,,7032,29690.143,4.222147,873,3655.737,4.187556,7021,1681.851,0.23954499999999998,-11,7018,74.165,0.010567,-14
28017,physics,20240715T231708Z,v09_91_02d01,,5609,23568.043,4.201826,,,,5591,2398.328,0.428962,-18,5590,205.791,0.036814,-19
28018,cosmics,20240716T073633Z,v09_91_02d01,,2,7.508,3.754,,,,2,3.565,1.7825,0,2,0.0,0.0,0
28019,cosmics,20240716T081357Z,v09_91_02d01,,1,2.889,2.889,,,,1,1.371,1.371,0,1,0.0,0.0,0
28020,cosmics,20240716T083113Z,,,,,,528,2239.264,4.241029999999999,,,,,,,,
28021,cosmics,20240716T130039Z,,,,,,256,1083.554,4.232632,,,,,,,,
28023,physics,20240716T154225Z,v09_91_02d01,,9200,39335.268,4.275572,,,,9188,5989.739,0.651908,-12,9184,282.678,0.030779,-16
28024,cosmics,20240717T063824Z,v09_91_02d01,,1505,6395.524,4.249517,224,947.605,4.230379,1498,947.082,0.6322300000000001,-7,1498,46.225,0.030857,-7
28025,cosmics,20240717T080034Z,v09_91_02d01,,640,2713.851,4.240392,74,310.307,4.1933370000000005,639,401.825,0.6288339999999999,-1,639,19.366,0.030306,-1
28026,cosmics,20240717T082942Z,,,,,,6,22.158,3.693,,,,,,,,
28027,cosmics,20240717T083546Z,v09_91_02d01,,136,572.972,4.213029000000001,15,60.211,4.014066,136,58.428,0.429617,0,136,5.807,0.042698,0
28028,cosmics,20240717T085120Z,v09_91_02d01,,336,1398.345,4.161741,69,290.326,4.207623,336,143.931,0.42836599999999997,0,336,13.408,0.039904,0
28029,cosmics,20240717T091744Z,v09_91_02d01,,88,346.284,3.935045,21,83.494,3.975904,88,35.36,0.401818,0,88,3.228,0.036681,0
28030,cosmics,20240717T092946Z,,,,,,5,19.466,3.8931999999999998,,,,,,,,
28031,cosmics,20240717T094344Z,v09_91_02d01,,256,1062.809,4.151597,45,188.835,4.196332999999999,256,108.442,0.423601,0,256,10.086,0.039398,0
28033,cosmics,20240717T100117Z,,,,,,20,83.235,4.16175,,,,,,,,
28034,cosmics,20240717T104921Z,v09_91_02d01,,1143,4805.836,4.20458,153,643.312,4.204653,1143,452.486,0.395875,0,1143,42.251,0.036965000000000005,0
28035,cosmics,20240717T115554Z,v09_91_02d01,,3864,16308.014,4.2205,429,1800.489,4.196944,3857,2349.106,0.60905,-7,3855,113.16,0.029353999999999998,-9
